Year,Entity,Code,GDP per Capita,Population,"Government expenditure on education, total (% of GDP)",Government expenditure on primary education as % of GDP (%),Annual Working Hours,Consumer Price Index,Government Expenditure,Foreign Direct Investment,Unemployment rate,Government health expenditure,Life Expectancy,Government revenues,Age dependency ratio,Research and development spending,Taxes on goods and services (as a share of GDP),"Taxes on income, profits and capital gains (TIPCG) (as a share of GDP)",Human Development Index,Gender Development Index,Productivity
1970,China,CHN,1292.507,822534464.0,,,1976.312,,,,,,,,80.1329449111259,,,,,,1. 4994909
1971,China,CHN,1382.5481,843285440.0,1.5041477773357326,,1975.7937,,,,,,57.472109672237934,,79.80233502575271,,,,,,1.5798508
1972,China,CHN,1310.6804,862840384.0,1.620546002372238,,1975.5077,,,,,,58.38859968803277,,78.95392412090786,,,,,,1. 492279
1973,China,CHN,1396.8113,881652096.0,1.697113019290648,,1975.3647,,,,,,59.36788671352336,,78.66121291358297,,,,,,1. 5905421
1974,China,CHN,1392.1698,899367680.0,1.7545469141604,,1975.1897,,,,,,60.14482781888321,,78.93606687774646,,,,,,1. 5722494
1975,China,CHN,1428.976,915124672.0,1.7407786426292962,,1974.8975,,,,,,60.702792576781135,,79.25239096859055,,,,,,1. 5965048
1976,China,CHN,1350.1012,929375936.0,1.7795060449418976,,1974.2075,,,,,,61.6131191823651,,79.23695404598986,,,,,,1. 4927917
1977,China,CHN,1424.0562,942581312.0,1.807331710352265,,1973.4353,,,,,,62.36528186774618,,77.05747259879088,,,,,,1. 5616083
1978,China,CHN,1618.633,955138944.0,2.0229678036236374,,1972.7274,,,,,,62.818360849677006,,73.12977401517153,,,,,,1. 7562629
1979,China,CHN,1677.2329,968298944.0,2.015320303688904,,1972.1038,,,,,,63.48366282668886,,70.219607055469,,,,,,1. 7937474
1980,China,CHN,1678.2577,982372480.0,1.916520841822646,0.56544,1971.4967,,,,,,64.06523545743968,,67.02387924672139,,,,,,1.7565327
1981,China,CHN,1667.3282,997259520.0,1.971743653345006,0.58997,1971.1016,,,0.01964953142258,,,64.61192086058178,,64.16142662757424,,,,,,1. 6996822
1982,China,CHN,1762.4872,1013483200.0,2.035630731733636,0.63945,1970.7063,,0.2783162518364556,0.02988767966314,,,65.08883180850636,,62.48718463774977,,,,,,1. 7360451
1983,China,CHN,1871.7107,1029226880.0,2.029450273410796,0.6411,1970.1927,,0.2695658337388494,0.05041684709357999,,,65.39746917976042,,60.54753383716949,,,,,,1. 8232234
1984,China,CHN,2095.368,1044172224.0,1.9886300902569485,0.59916,1969.7229,,0.2578249587617806,0.15470164860756,,,65.80111694970662,,57.56341140827399,,,,,,2. 0174322
1985,China,CHN,2336.5251,1060240000.0,2.0130632422675974,0.58996,1969.3905,,0.2532507180556105,0.16534557662502,,,66.14196770995709,,55.002284271520566,,,,,,2. 2257786
1986,China,CHN,2366.6023,1077770496.0,1.9424339115238176,0.60639,1970.4417,27.13562521678996,0.2392017982458336,0.18600011843944,,,66.37385318047188,,53.833977827199355,,,,,,2. 2396414
1987,China,CHN,2443.5935,1096851840.0,1.7778613159693415,0.55476,1971.4633,30.278092778541627,0.2172979185656925,0.25131888002243,,,66.66237309930922,,52.89790409228947,,,,,,2. 3069808
1988,China,CHN,2548.7253,1115889792.0,1.7405431624404084,0.57495,1972.6764,35.87641673240614,0.2112219079251074,0.24926935675874,,,66.97182535471181,,52.136004889438084,,,,,,2. 379545
1989,China,CHN,2507.4414,1134414720.0,1.712323778195484,,1973.9873,39.59040981989963,0.2113208010014212,0.22788664961957,,,67.1835933728099,,51.56544383335322,,9. 170754,4. 6433463,,,2.2952845
1990,China,CHN,2427.055,1153704192.0,1.686302247095008,,1975.354,40.8562436378148,0.1988475692375452,0.23822781648213998,,,67.33954182673396,,51.46764222142713,,8.645571,4. 4651213,0. 484,0. 873,2. 189328
