Entity,Code,Year,"Government expenditure on education, total (% of GDP)",Government expenditure on primary education as % of GDP (%),Annual Working Hours,GDP per Capita,Population,Consumer Price Index,Government Expenditure,Foreign Direct Investment,Unemployment rate,Government health expenditure,Life Expectancy,Government revenues,Age dependency ratio,Research and development spending,Taxes on goods and services (as a share of GDP),"Taxes on income, profits and capital gains (TIPCG) (as a share of GDP)",Human Development Index,GDP per capita,Gender Development Index,Productivity
China,CHN,1971,1.38874,,1975.7937,1382.5481,843285440.0,,,,,,57.472109672237934,,0.7980233502575271,,,,,,,1.5798508
China,CHN,1972,1.60476,,1975.5077,1310.6804,862840384.0,,,,,,58.38859968803277,,0.7895392412090786,,,,,,,1. 492279
China,CHN,1973,1.65082,,1975.3647,1396.8113,881652096.0,,,,,,59.36788671352336,,0.7866121291358297,,,,,,,1. 5905421
China,CHN,1974,1.76115,,1975.1897,1392.1698,899367680.0,,,,,,60.14482781888321,,0.7893606687774646,,,,,,,1. 5722494
China,CHN,1975,1.7085,,1974.8975,1428.976,915124672.0,,,,,,60.702792576781135,,0.7925239096859055,,,,,,,1. 5965048
China,CHN,1976,1.81657,,1974.2075,1350.1012,929375936.0,,,,,,61.6131191823651,,0.7923695404598986,,,,,,,1. 4927917
China,CHN,1977,1.74954,,1973.4353,1424.0562,942581312.0,,,,,,62.36528186774618,,0.7705747259879088,,,,,,,1. 5616083
China,CHN,1978,1.95884,,1972.7274,1618.633,955138944.0,,,,,,62.818360849677006,,0.7312977401517153,,,,,,,1. 7562629
China,CHN,1979,2.14805,,1972.1038,1677.2329,968298944.0,,,,,,63.48366282668886,,0.7021960705546899,,,,,,,1. 7937474
China,CHN,1980,1.9119,0.56544,1971.4967,1678.2577,982372480.0,,,,,,64.06523545743968,,0.670238792467214,,,,,,,1.7565327
China,CHN,1981,1.94881,0.58997,1971.1016,1667.3282,997259520.0,,,0.0001964953142258,,,64.61192086058178,,0.6416142662757425,,,,,,,1. 6996822
China,CHN,1982,2.03448,0.63945,1970.7063,1762.4872,1013483200.0,,0.27831625183645564,0.0002988767966314,,,65.08883180850636,,0.6248718463774977,,,,,,,1. 7360451
China,CHN,1983,2.07692,0.6411,1970.1927,1871.7107,1029226880.0,,0.2695658337388494,0.0005041684709358333,,,65.39746917976042,,0.6054753383716949,,,,,,,1. 8232234
China,CHN,1984,1.99863,0.59916,1969.7229,2095.368,1044172224.0,,0.25782495876178063,0.0015470164860756335,,,65.80111694970662,,0.5756341140827399,,,,,,,2. 0174322
China,CHN,1985,2.00814,0.58996,1969.3905,2336.5251,1060240000.0,,0.25325071805561056,0.0016534557662502,,,66.14196770995709,,0.5500228427152056,,,,,,,2. 2257786
China,CHN,1986,2.06155,0.60639,1970.4417,2366.6023,1077770496.0,27.13562521678996,0.23920179824583365,0.0018600011843944,,,66.37385318047188,,0.5383397782719935,,,,,,,2. 2396414
China,CHN,1987,1.80425,0.55476,1971.4633,2443.5935,1096851840.0,30.278092778541627,0.21729791856569258,0.00251318880022435,,,66.66237309930922,,0.5289790409228947,,,,,,,2. 3069808
China,CHN,1988,1.76418,0.57495,1972.6764,2548.7253,1115889792.0,35.87641673240614,0.21122190792510742,0.0024926935675874,,,66.97182535471181,,0.5213600488943808,,,,,,,2. 379545
China,CHN,1992,1.65456,0.56739,1978.4229,2722.6484,1183813376.0,47.23933898439742,0.16338954391057944,0.009696293418634266,0.025704763047829603,,68.0692705817386,,0.510967133374449,,7.6122904,2.988174,0. 504,1731.6572,0.881,2. 432315
China,CHN,1993,1.65785,0.57657,1981.6453,2943.4604,1195855616.0,56.96366417754889,0.1499747105636656,0.0067633086799928225,0.028493455602670567,,68.51129430205444,,0.508988078574496,,8.084106,2. 1756253,0.515,1949.5343,0.888,2.6291595
China,CHN,1994,1.98571,0.77434,1989.299,3133.4246,1207286656.0,66.84383996539121,0.13783278306048816,0.0033064840393191497,0.029797416715505398,,68.7362023270475,,0.503116587506925,,,,0.525,2178.924,0.891,2.7920673
China,CHN,1995,1.84192,0.55447,2001.834,3431.2358,1218144384.0,76.8728173715687,0.13018961867626896,0.0026565670599558,0.03094894718899267,,69.18869221564596,,0.4944251278250734,,6. 56671,2. 1080956,0.535,2391. 477,0.894,3. 0420306
China,CHN,1996,1.85339,0.74874,2017.2646,3659.8289,1228298880.0,81.05911888957498,0.134089792217439,0.0030922609534626334,0.0320589742705783,,69.47372341172242,,0.4870549565566431,0.0062488550400187,6. 480157,2.1386194,0.545,2601.3635,0.894,3. 2180831
China,CHN,1998,1.84433,0.66514,2062.0522,3741.418,1246836096.0,81.05195793632618,0.16503062095530238,0.00414888447090105,0.0325026832603624,,70.37870318891933,,0.4706558089525587,0.007250530412770833,7.7531996,1.8527954,0.564,3004.4272,0.896,3. 2003472
China,CHN,1999,1.88804,0.61544,2082.0667,3930.9387,1255433216.0,80.53904499336736,0.17528423872297247,0.0038242019873793,0.032752206683188796,,70.54081420421664,,0.46013966369676107,0.008490734237595601,,,0.573,3206.73,0.897,3.320289
China,CHN,2007,2.7007349,,2152.6501,7817.45,1321513216.0,94.77955171353938,0.19988108907035573,0.008229228014354112,0.04533628664345383,0.01570674903325378,73.66370491266302,0.3101107750204181,0.3689318019128894,0.014041745314077467,11. 40929,4. 423239,0.663,6795.174,0.942,6.339555
China,CHN,2008,3.6317883,,2131.5928,8281.87,1330167168.0,96.76120246074379,0.2207290324271774,0.010922966002292483,0.04683040875191045,0.0194829108365925,73.85802931695673,0.2667589012164752,0.36592174958627927,0.015434860984169099,12.13065,4. 713137,0.672,7412. 8745,0.945,6.7905946
China,CHN,2009,3.751522,,2138.8518,8938.087,1339125632.0,98.17412194906086,0.22946556314693847,0.0089900350286212,0.045742265276963734,0.021558698478134998,74.24772219585944,0.2703042913806011,0.3649022633403379,0.0167239292978066,12.572677,4.4578295,0.682,8069.3545,0.948,7.314836
